date,open,high,low,close,change_percent
1990-02-20,332.72,332.72,326.26,327.99,-1.42
1990-10-16,303.23,304.34,298.12,298.92,-1.42
1995-05-18,526.88,526.88,519.58,519.58,-1.42
2007-07-10,1531.85,1531.85,1510.01,1510.12,-1.42
2010-05-18,1138.78,1148.66,1117.2,1120.8,-1.42
2015-03-06,2100.9099,2100.9099,2067.27,2071.26,-1.42
2016-02-08,1873.25,1873.25,1828.46,1853.4399,-1.42
2018-03-19,2741.3799,2741.3799,2694.5901,2712.9199,-1.42
2019-01-22,2657.8799,2657.8799,2617.27,2632.8999,-1.42
2022-01-13,4733.5601,4744.1299,4650.29,4659.0298,-1.42
1931-01-12,15.84,15.84,15.84,15.84,-1.43
1933-05-31,9.64,9.64,9.64,9.64,-1.43
1935-06-25,10.32,10.32,10.32,10.32,-1.43
1938-10-28,13.14,13.14,13.14,13.14,-1.43
1943-11-29,10.99,10.99,10.99,10.99,-1.43
1946-02-13,17.98,17.98,17.98,17.98,-1.43
1950-07-25,17.23,17.23,17.23,17.23,-1.43
1956-10-01,44.7,44.7,44.7,44.7,-1.43
1959-09-08,57.7,57.7,57.7,57.7,-1.43
1973-06-18,103.6,104.96,103.08,103.6,-1.43
1975-02-24,81.44,82.71,80.87,81.44,-1.43
1999-08-26,1381.79,1381.79,1361.53,1362.01,-1.43
2001-02-28,1257.9399,1263.47,1229.65,1239.9399,-1.43
2004-03-15,1120.5699,1120.5699,1103.36,1104.49,-1.43
2007-11-09,1467.59,1474.09,1448.51,1453.7,-1.43
2007-12-27,1495.05,1495.05,1475.86,1476.27,-1.43
2010-11-23,1192.51,1192.51,1176.91,1180.73,-1.43
2012-05-30,1331.25,1331.25,1310.76,1313.3199,-1.43
2013-04-17,1574.5699,1574.5699,1543.6899,1552.01,-1.43
2013-05-31,1652.13,1658.99,1630.74,1630.74,-1.43
2013-08-15,1679.61,1679.61,1658.59,1661.3199,-1.43
2023-10-25,4232.4199,4232.4199,4181.4199,4186.77,-1.43
1930-09-15,21.19,21.19,21.19,21.19,-1.44
